sector,amount_2019,amount_2020,amount_2021,proportion_2019,proportion_2020,proportion_2021
Agriculture,0,287997.5,3809273,0,8.40208044763004e-05,0.0135299476608275
COVID-19,0,949782952.944445,0,0,0.277091043444017,0
Camp Coordination / Management,0,13759513.6666667,0,0,0.00401422028828717,0
Coordination and support services,0,9069582.44444444,0,0,0.00264597301451003,0
Early Recovery,0,7035807.52380952,478358,0,0.0020526365968138,0.00169905352100994
Education,0,27374659.968254,146682,0,0.00798632263404326,0.000520991743775122
Emergency Shelter and NFI,0,29336280.1349206,721300.166666667,0,0.00855860852013696,0.00256194646662135
Emergency Telecommunications,0,1230012,0,0,0.000358845468295743,0
Food Security,0,364315921.690476,11434065,0,0.106286050482934,0.0406120278070117
Health,0,584890485.051587,171436076.166667,0,0.170636790543557,0.608914388050588
Logistics,0,24479353.9444444,0,0,0.00714164189436478,0
Multi-sector,0,97493236.1666667,24792736,0,0.0284428168082059,0.0880599580152729
Nutrition,0,36166855.7777778,0,0,0.0105513704731021,0
Other,0,2905687,0,0,0.000847709300588818,0
Protection,0,137480831.468254,5072324,0,0.0401088553200406,0.0180161091732619
Unspecified,0,970501142,58535004,0,0.283135397689245,0.207907267461882
Water Sanitation Hygiene,1307763,171582402.718254,5117990.66666667,1,0.0500576967173821,0.0181783100997496
